,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
447,Jenny & Tyler,Abide,6KCgptqZJV0wec6LATUUcK,10,2012,acoustic,0.639,0.25,1,-12.341,1,0.0338,0.361,2.43e-06,0.0885,0.139,116.015,284307,3
448,Joshua James,Mystic,41NfJ0nfTP11P60Pvq5n8c,13,2012,acoustic,0.394,0.287,2,-10.498,1,0.0367,0.757,3.31e-05,0.104,0.154,130.562,243773,4
449,Joshua James,Ghost in the Town,4kAUNtghDs2WP5ipwJ3kxG,15,2012,acoustic,0.594,0.56,0,-9.103,0,0.0336,0.732,0.000383,0.106,0.327,128.047,179600,4
450,Frank Turner,The Next Round,42ZpykiOpEIXHgYl0cr9Wy,13,2012,acoustic,0.481,0.184,7,-13.243,1,0.0358,0.565,0.000502,0.1,0.168,117.015,275640,3
451,Brett Dennen,You Ain't Goin' Nowhere,2ftFFvfnqMXz4NYCK86hVZ,11,2012,acoustic,0.595,0.461,7,-8.317,1,0.0312,0.114,0.0,0.195,0.709,124.433,183280,4
452,Gabrielle Aplin,Let Me In,6z0VNiNihK5hdxqrIrA7qI,21,2012,acoustic,0.58,0.0675,2,-13.626,1,0.0397,0.947,6.41e-06,0.096,0.135,84.647,197956,4
453,Mark Lanegan,Tiny Grain of Truth,2TDUZHq5KXulbYtOGOa1sa,20,2012,acoustic,0.401,0.8,7,-5.5,1,0.0396,0.00123,0.599,0.323,0.146,116.024,427187,4
454,Eric Bibb,Send Us Brighter Days,5Y4jV2tK69LmkyLMGnhc3N,12,2012,acoustic,0.658,0.202,7,-13.326,1,0.0356,0.914,0.0115,0.109,0.211,97.464,238307,3
455,Matt Wertz,White Christmas,3tl3pscel2HtdiGAVkv1Lb,16,2012,acoustic,0.567,0.456,0,-9.657,1,0.0399,0.125,0.0,0.301,0.458,125.988,178720,4
456,Matthew Mayfield,Heart in Wire,6kPkYuGlEucoO99DRWrDBc,12,2012,acoustic,0.395,0.181,11,-11.549,1,0.04,0.491,0.0,0.14,0.147,80.215,262364,4
457,Ichiko Aoba,kanashii yume o mitara - remastered,3nB0X7dZbRR9GzXxCGyyGX,15,2012,acoustic,0.476,0.0298,5,-21.138,1,0.0477,0.993,0.0122,0.113,0.201,135.251,179785,3
458,Ichiko Aoba,watashi no nusubito - remastered,4pvwJZdAlsjThquFYSJJcZ,14,2012,acoustic,0.433,0.028,3,-19.395,1,0.0375,0.992,0.00434,0.101,0.0687,134.009,311585,4
459,Joey Cape,Broken Record,5xOQjDoakQDYxUV930EEDP,17,2012,acoustic,0.752,0.189,1,-9.681,1,0.0529,0.864,0.000227,0.127,0.412,121.504,145920,4
460,Get Dead,Escape Plan,2LzD7vJUak0Grzruq7Hxdm,13,2012,acoustic,0.559,0.787,11,-5.393,1,0.0456,0.095,0.0,0.16,0.729,118.024,226173,4
461,Hannah Trigwell,Don't Speak,4L62B5WYHBpFulsWF0mlmC,27,2012,acoustic,0.399,0.473,4,-6.416,0,0.0343,0.796,0.0,0.128,0.482,112.23,188127,3
462,Steve Petrunak,O Little Town of Bethlehem,11GBHpTngZZmdyTZuTcBVc,11,2012,acoustic,0.457,0.142,8,-13.647,1,0.0483,0.89,0.941,0.134,0.483,96.45,136066,4
463,Joshua Hyslop,Where The Mountain Meets The Valley,0LOxNQ3PElqnuUpazw1RUA,19,2012,acoustic,0.533,0.386,7,-13.431,1,0.0282,0.109,0.0141,0.149,0.333,77.987,281973,4
464,Tyrone Wells,All You Gotta Do Is Dream,1MUUd3tTTh7z20isAk4ljK,16,2012,acoustic,0.728,0.422,4,-9.502,1,0.035,0.728,2.33e-05,0.167,0.379,134.936,207535,4
465,John Standefer,Once Upon a Western Sky,7p0jYavIgLwjjBPC2oCYu7,14,2012,acoustic,0.383,0.208,2,-14.656,1,0.0353,0.907,0.955,0.132,0.298,84.841,162707,3
466,Van Larkins,Freyah's Song,7jxbGAjBnR1jugGqv0j07q,13,2012,acoustic,0.592,0.19,8,-19.14,1,0.0501,0.841,0.824,0.117,0.451,123.963,123000,3
467,Frank Turner,The Real Damage,77Sjb67YQPVUZzufE3RRff,13,2012,acoustic,0.645,0.438,7,-6.701,1,0.0269,0.425,0.0,0.134,0.615,89.001,215173,4
468,Mindy Smith,No One Is to Blame,1ANbimG6Ev2ZaZVc4MWSdH,11,2012,acoustic,0.447,0.185,11,-10.578,1,0.0339,0.879,1.5e-06,0.102,0.28,181.587,213489,4
469,Frank Turner,Sons Of Liberty,4Jp7YhB7sJs1UYzrbK8E3N,12,2012,acoustic,0.371,0.765,6,-6.917,0,0.0432,0.013,0.000165,0.114,0.281,96.088,268307,3
470,Frank Turner,Dan's Song,5CkTDPtqkCO49qThnNZzVm,13,2012,acoustic,0.485,0.52,4,-8.028,1,0.0421,0.671,0.0,0.113,0.717,114.953,116680,4
471,Matthew Perryman Jones,Waking the Dead,7dFfkQoKThIdy2mb3dCldS,12,2012,acoustic,0.419,0.854,10,-6.352,1,0.0528,0.00062,3.51e-05,0.128,0.289,135.007,212240,4
472,Rodrigo y Gabriela,Master Maqui - Area 52 Version,1bBegAYUZWsVODyqvBtBp8,9,2012,acoustic,0.422,0.862,9,-7.427,0,0.0403,0.747,0.73,0.054,0.962,100.49,313387,3
473,Kris Allen,Monster,3nM0eDJYu71MzLmBq3BiDV,12,2012,acoustic,0.604,0.887,8,-5.94,1,0.0619,0.00972,0.0,0.303,0.586,80.977,215867,4
474,Green River Ordinance,Healing Touch,6Bcum8r3AsDLl4XnliOnPt,11,2012,acoustic,0.439,0.565,9,-6.02,1,0.0284,0.218,0.0,0.305,0.423,160.083,207613,4
475,Greg Laswell,Late Arriving,5gbRfKXYhtN3TyGGhDazrt,12,2012,acoustic,0.348,0.618,10,-7.248,1,0.0283,0.734,9.06e-05,0.109,0.331,82.512,201187,3
476,Ichiko Aoba,sanbiki no kuma - remastered,4Y9uyX128D4wkcejdepunY,15,2012,acoustic,0.491,0.0242,8,-18.691,1,0.0408,0.991,0.00238,0.0922,0.268,111.026,280558,4
477,Rachael Yamagata,Falling in Love Again,0hXpmr5CEJ5860N1PViC1L,18,2012,acoustic,0.536,0.339,4,-11.931,1,0.028,0.895,0.196,0.104,0.078,132.073,240771,4
478,Lulu Panganiban,Need To Be Next To You,3ucVwg5mQzrIuwIe4eeSpa,27,2012,acoustic,0.512,0.341,2,-9.573,1,0.0328,0.744,0.0,0.268,0.559,175.889,220013,4
479,Rachael Yamagata,Has It Happened Yet,128HO1qzjqFWmmK3UF0euC,18,2012,acoustic,0.743,0.308,6,-11.267,1,0.0366,0.726,4.13e-05,0.108,0.419,115.944,278916,4
480,Rachael Yamagata,Nothing Gets By Here,6rQxpkDbthSSisIXFNo5wv,17,2012,acoustic,0.364,0.399,5,-8.733,1,0.0262,0.606,0.0254,0.262,0.138,109.854,284196,3
481,Get Dead,Battle Lines,17zPqeiG5056er12KcHQx8,13,2012,acoustic,0.313,0.622,8,-6.401,1,0.0309,0.0759,0.000254,0.209,0.363,89.879,181787,4
482,Ichiko Aoba,hikari no furusato - remastered,6aob3cx3ppWNti336wNCpr,15,2012,acoustic,0.434,0.0498,3,-18.884,1,0.04,0.99,0.163,0.082,0.18,69.868,192145,4
483,Ichiko Aoba,anata no kazari - remastered,6Mye7m0XQwjvcHaz3h5FRl,14,2012,acoustic,0.521,0.0625,5,-17.618,1,0.0438,0.99,0.0341,0.157,0.136,134.682,277985,4
484,Get Dead,Shootin the Moon,4lgQ17oD90SqkK2GvkIzhw,13,2012,acoustic,0.367,0.915,6,-4.43,1,0.0699,0.268,1.97e-05,0.172,0.649,115.743,157360,4
485,Cary Brothers,Ordinary World,0BqlulEIiQ1f2heOWPZ582,17,2012,acoustic,0.629,0.499,11,-8.105,1,0.0297,0.0908,0.00199,0.0971,0.202,129.922,227000,4
486,Kaki King,Cargo Cult,1PtRLaATg0M0opeNwKVECu,12,2012,acoustic,0.486,0.394,6,-16.473,0,0.0752,0.471,0.742,0.369,0.166,114.051,236469,4
487,Fay Wolf,Your Love,2KMf5RjNDIF1wDUS6Sb4Im,12,2012,acoustic,0.226,0.394,8,-8.891,1,0.0316,0.579,0.387,0.252,0.206,180.469,201996,4
488,Right the Stars,Give It All,5PwPE8R9UDIY6uTpzURSAF,17,2012,acoustic,0.43,0.696,11,-6.277,1,0.0371,0.0141,0.232,0.103,0.23,139.995,224760,4
489,Kaki King,Streetlight in the Egg,05Mfg7sc9dVrcCeG0ItX0V,12,2012,acoustic,0.566,0.516,0,-11.822,1,0.0268,0.114,0.769,0.101,0.408,92.61,223901,4
490,Matthew Perryman Jones,I Won't Let You Down Again,3P6L9WtMyNTl0kQAz3kfYc,14,2012,acoustic,0.525,0.613,0,-6.162,1,0.0249,0.259,9.45e-05,0.145,0.359,105.047,237267,4
491,The Moon Loungers,The Air That I Breathe vs Creep,2vlESCiXh3JANCGcC3pZBp,18,2012,acoustic,0.591,0.297,9,-10.167,1,0.0259,0.75,0.0,0.08,0.138,95.479,272013,4
492,Augustana,Boston,29PU1knovCJcE0bYYle0tD,9,2012,acoustic,0.443,0.541,0,-5.564,1,0.0294,0.196,9.01e-06,0.138,0.287,73.493,246493,4
493,Augustana,Sweet and Low - New Album Version,2CRTNlJ7k2adouy6WSKh3W,9,2012,acoustic,0.443,0.712,11,-4.764,1,0.0313,0.0056,0.0015,0.0964,0.444,151.911,214440,4
494,The Civil Wars,Goodbye Girl,1LPdYksb2LhW4O9VmSPltR,10,2012,acoustic,0.56,0.235,11,-11.207,1,0.0281,0.643,0.0,0.0994,0.208,80.038,239492,4
495,Ramshackle Glory,Introduction,5gHKYgKMiKfGhEsSONzej8,10,2012,acoustic,0.272,0.7,0,-10.424,1,0.0497,0.216,0.0,0.828,0.238,71.719,271093,4
496,Tyler Ward,Ho Hey,3YbOccoztkmTTd4SqteNMb,20,2012,acoustic,0.457,0.45,0,-9.207,1,0.0322,0.368,9.04e-05,0.153,0.156,154.839,147484,4
497,Dave Barnes,White Flag,0NSLR0NMQ9XhlFafhFCAM5,10,2012,acoustic,0.67,0.915,1,-5.111,1,0.0451,0.05,5.14e-06,0.34,0.881,104.975,204680,4
498,Erin McCarley,Amber Waves,6JHHlemyLhmCKDkAE0yWWP,9,2012,acoustic,0.511,0.908,9,-5.965,0,0.0405,0.0193,4.32e-05,0.677,0.477,148.027,254680,4
499,Benjamin Francis Leftwich,Break the Day Open,6dOtnixK6vXJEV4ufLvcpK,10,2012,acoustic,0.624,0.384,0,-12.409,0,0.028,0.896,0.00182,0.129,0.311,126.897,212480,4
500,A Fine Frenzy,Winds Of Wander,1BgqsrK8WEMCfqqvXG0jGJ,9,2012,acoustic,0.359,0.278,10,-14.502,1,0.034,0.442,0.386,0.325,0.13,122.873,365712,3
